"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"WAOLUSGM"	""	"-"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"----------"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/AOLDiag/AOL/WAOLUSGM"
"WAOLUSGM"	""	"-"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"1134"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"----------"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/AOLDiag/AOL/WAOLUSGM"
"TOD"	""	"-"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"----------"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/C_AOL 9.0/TOD"
"TOD"	""	"-"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"1150"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"----------"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/C_AOL 9.0/TOD"
"mantooth2007"	""	"r"	""	"2007-07-13 01:21:35 IST"	"2007-07-13 01:21:35 IST"	"2007-07-08 02:01:14 IST"	"190577"	"232"	"9cd1b6265699fb98c08e936e35682eca"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/C_AOL 9.0a/organize/mantooth2007"
"mantooth2007-slack"	""	"r"	""	"2007-07-13 01:21:35 IST"	"2007-07-13 01:21:35 IST"	"2007-07-08 02:01:14 IST"	"399"	"232"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/C_AOL 9.0a/organize/mantooth2007-slack"
"mantooth2007.abi"	".abi"	"r"	""	"2007-07-12 02:49:42 IST"	"2007-07-13 01:21:35 IST"	"2007-06-22 04:01:04 IST"	"262"	"675"	"3c4abe36b02d489da5b126962c60599a"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/C_AOL 9.0a/organize/mantooth2007.abi"
"mantooth2007.abi-slack"	".abi-slack"	"r"	""	"2007-07-12 02:49:42 IST"	"2007-07-13 01:21:35 IST"	"2007-06-22 04:01:04 IST"	"250"	"675"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/C_AOL 9.0a/organize/mantooth2007.abi-slack"
"mantooth2007.aby"	".aby"	"r"	""	"2007-07-13 01:21:35 IST"	"2007-07-13 01:21:35 IST"	"2007-06-22 04:01:04 IST"	"960"	"676"	"0eb7355dea619ee0afaa7c73c01727fe"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/C_AOL 9.0a/organize/mantooth2007.aby"
"mantooth2007.aby-slack"	".aby-slack"	"r"	""	"2007-07-13 01:21:35 IST"	"2007-07-13 01:21:35 IST"	"2007-06-22 04:01:04 IST"	"64"	"676"	"null"	"unknown"	"rrwxrwxrwx"	"/img_Mantooth.E01/vol_vol2/ProgramData/AOL/C_AOL 9.0a/organize/mantooth2007.aby-slack"
